Customer_ID,Customer_Name,Segment,City,State
C1000,Customer 1,Consumer,Salem,Maharashtra
C1001,Customer 2,Home Office,Chennai,Telangana
C1002,Customer 3,Corporate,Mumbai,Telangana
C1003,Customer 4,Corporate,Chennai,Tamil Nadu
C1004,Customer 5,Consumer,Kochi,Kerala
C1005,Customer 6,Consumer,Hyderabad,Karnataka
C1006,Customer 7,Consumer,Bengaluru,Telangana
C1007,Customer 8,Home Office,Salem,Delhi
C1008,Customer 9,Corporate,Coimbatore,Delhi
C1009,Customer 10,Corporate,Bengaluru,Telangana
C1010,Customer 11,Consumer,Kochi,Kerala
C1011,Customer 12,Home Office,Mumbai,Kerala
C1012,Customer 13,Corporate,Coimbatore,Maharashtra
C1013,Customer 14,Consumer,Delhi,Delhi
C1014,Customer 15,Consumer,Pune,Maharashtra
C1015,Customer 16,Consumer,Coimbatore,Delhi
C1016,Customer 17,Consumer,Kochi,Karnataka
C1017,Customer 18,Consumer,Coimbatore,Karnataka
C1018,Customer 19,Consumer,Pune,Tamil Nadu
C1019,Customer 20,Consumer,Chennai,Maharashtra
C1020,Customer 21,Corporate,Salem,Telangana
C1021,Customer 22,Consumer,Chennai,Maharashtra
C1022,Customer 23,Consumer,Coimbatore,Telangana
C1023,Customer 24,Consumer,Chennai,Kerala
C1024,Customer 25,Consumer,Kochi,Maharashtra
C1025,Customer 26,Corporate,Delhi,Kerala
C1026,Customer 27,Consumer,Mumbai,Karnataka
C1027,Customer 28,Consumer,Salem,Karnataka
C1028,Customer 29,Corporate,Chennai,Tamil Nadu
C1029,Customer 30,Consumer,Chennai,Maharashtra
C1030,Customer 31,Corporate,Coimbatore,Kerala
C1031,Customer 32,Consumer,Mumbai,Telangana
C1032,Customer 33,Consumer,Bengaluru,Karnataka
C1033,Customer 34,Home Office,Chennai,Karnataka
C1034,Customer 35,Home Office,Kochi,Telangana
C1035,Customer 36,Corporate,Madurai,Kerala
C1036,Customer 37,Consumer,Salem,Kerala
C1037,Customer 38,Consumer,Chennai,Maharashtra
C1038,Customer 39,Corporate,Kochi,Maharashtra
C1039,Customer 40,Consumer,Kochi,Delhi
C1040,Customer 41,Consumer,Salem,Delhi
C1041,Customer 42,Consumer,Bengaluru,Tamil Nadu
C1042,Customer 43,Consumer,Kochi,Karnataka
C1043,Customer 44,Home Office,Madurai,Maharashtra
C1044,Customer 45,Consumer,Kochi,Kerala
C1045,Customer 46,Corporate,Kochi,Telangana
C1046,Customer 47,Consumer,Kochi,Kerala
C1047,Customer 48,Consumer,Delhi,Karnataka
C1048,Customer 49,Consumer,Delhi,Delhi
C1049,Customer 50,Consumer,Bengaluru,Kerala
C1050,Customer 51,Home Office,Chennai,Tamil Nadu
C1051,Customer 52,Corporate,Kochi,Karnataka
C1052,Customer 53,Home Office,Mumbai,Delhi
C1053,Customer 54,Home Office,Chennai,Telangana
C1054,Customer 55,Corporate,Bengaluru,Delhi
C1055,Customer 56,Home Office,Hyderabad,Tamil Nadu
C1056,Customer 57,Consumer,Chennai,Karnataka
C1057,Customer 58,Consumer,Chennai,Telangana
C1058,Customer 59,Consumer,Pune,Tamil Nadu
C1059,Customer 60,Consumer,Coimbatore,Delhi
C1060,Customer 61,Consumer,Pune,Tamil Nadu
C1061,Customer 62,Consumer,Madurai,Karnataka
C1062,Customer 63,Corporate,Delhi,Maharashtra
C1063,Customer 64,Consumer,Delhi,Tamil Nadu
C1064,Customer 65,Consumer,Coimbatore,Tamil Nadu
C1065,Customer 66,Consumer,Salem,Delhi
C1066,Customer 67,Consumer,Salem,Delhi
C1067,Customer 68,Corporate,Bengaluru,Telangana
C1068,Customer 69,Consumer,Coimbatore,Delhi
C1069,Customer 70,Home Office,Chennai,Kerala
C1070,Customer 71,Corporate,Salem,Karnataka
C1071,Customer 72,Consumer,Kochi,Karnataka
C1072,Customer 73,Consumer,Mumbai,Maharashtra
C1073,Customer 74,Corporate,Chennai,Maharashtra
C1074,Customer 75,Corporate,Madurai,Karnataka
C1075,Customer 76,Corporate,Kochi,Maharashtra
C1076,Customer 77,Corporate,Kochi,Telangana
C1077,Customer 78,Consumer,Coimbatore,Delhi
C1078,Customer 79,Consumer,Bengaluru,Karnataka
C1079,Customer 80,Consumer,Madurai,Maharashtra
C1080,Customer 81,Home Office,Salem,Karnataka
C1081,Customer 82,Corporate,Coimbatore,Kerala
C1082,Customer 83,Consumer,Salem,Tamil Nadu
C1083,Customer 84,Consumer,Coimbatore,Delhi
C1084,Customer 85,Consumer,Coimbatore,Karnataka
C1085,Customer 86,Consumer,Coimbatore,Tamil Nadu
C1086,Customer 87,Corporate,Bengaluru,Maharashtra
C1087,Customer 88,Corporate,Coimbatore,Tamil Nadu
C1088,Customer 89,Home Office,Hyderabad,Delhi
C1089,Customer 90,Consumer,Mumbai,Karnataka
C1090,Customer 91,Consumer,Salem,Kerala
C1091,Customer 92,Corporate,Chennai,Maharashtra
C1092,Customer 93,Corporate,Pune,Karnataka
C1093,Customer 94,Consumer,Madurai,Delhi
C1094,Customer 95,Corporate,Delhi,Maharashtra
C1095,Customer 96,Consumer,Bengaluru,Telangana
C1096,Customer 97,Consumer,Chennai,Tamil Nadu
C1097,Customer 98,Consumer,Kochi,Delhi
C1098,Customer 99,Consumer,Hyderabad,Telangana
C1099,Customer 100,Consumer,Delhi,Karnataka
C1100,Customer 101,Consumer,Pune,Kerala
C1101,Customer 102,Corporate,Chennai,Maharashtra
C1102,Customer 103,Consumer,Delhi,Tamil Nadu
C1103,Customer 104,Consumer,Chennai,Maharashtra
C1104,Customer 105,Home Office,Hyderabad,Karnataka
C1105,Customer 106,Consumer,Pune,Maharashtra
C1106,Customer 107,Consumer,Kochi,Tamil Nadu
C1107,Customer 108,Corporate,Coimbatore,Karnataka
C1108,Customer 109,Consumer,Salem,Maharashtra
C1109,Customer 110,Consumer,Kochi,Kerala
C1110,Customer 111,Consumer,Coimbatore,Delhi
C1111,Customer 112,Consumer,Bengaluru,Karnataka
C1112,Customer 113,Home Office,Mumbai,Delhi
C1113,Customer 114,Corporate,Madurai,Karnataka
C1114,Customer 115,Corporate,Madurai,Kerala
C1115,Customer 116,Home Office,Salem,Delhi
C1116,Customer 117,Corporate,Pune,Telangana
C1117,Customer 118,Consumer,Hyderabad,Tamil Nadu
C1118,Customer 119,Home Office,Pune,Telangana
C1119,Customer 120,Consumer,Hyderabad,Maharashtra
C1120,Customer 121,Corporate,Pune,Kerala
C1121,Customer 122,Home Office,Mumbai,Telangana
C1122,Customer 123,Consumer,Bengaluru,Karnataka
C1123,Customer 124,Consumer,Bengaluru,Maharashtra
C1124,Customer 125,Consumer,Coimbatore,Maharashtra
C1125,Customer 126,Consumer,Delhi,Telangana
C1126,Customer 127,Corporate,Bengaluru,Telangana
C1127,Customer 128,Home Office,Bengaluru,Kerala
C1128,Customer 129,Consumer,Kochi,Tamil Nadu
C1129,Customer 130,Consumer,Kochi,Telangana
C1130,Customer 131,Consumer,Coimbatore,Telangana
C1131,Customer 132,Consumer,Delhi,Delhi
C1132,Customer 133,Consumer,Salem,Karnataka
C1133,Customer 134,Consumer,Kochi,Delhi
C1134,Customer 135,Home Office,Salem,Delhi
C1135,Customer 136,Consumer,Chennai,Maharashtra
C1136,Customer 137,Consumer,Kochi,Tamil Nadu
C1137,Customer 138,Corporate,Mumbai,Karnataka
C1138,Customer 139,Consumer,Delhi,Kerala
C1139,Customer 140,Home Office,Coimbatore,Kerala
C1140,Customer 141,Home Office,Chennai,Telangana
C1141,Customer 142,Consumer,Delhi,Telangana
C1142,Customer 143,Consumer,Mumbai,Kerala
C1143,Customer 144,Consumer,Delhi,Telangana
C1144,Customer 145,Consumer,Mumbai,Tamil Nadu
C1145,Customer 146,Consumer,Mumbai,Delhi
C1146,Customer 147,Corporate,Salem,Telangana
C1147,Customer 148,Consumer,Pune,Maharashtra
C1148,Customer 149,Consumer,Chennai,Telangana
C1149,Customer 150,Consumer,Delhi,Karnataka
C1150,Customer 151,Home Office,Hyderabad,Tamil Nadu
C1151,Customer 152,Consumer,Chennai,Karnataka
C1152,Customer 153,Consumer,Pune,Karnataka
C1153,Customer 154,Consumer,Chennai,Maharashtra
C1154,Customer 155,Home Office,Bengaluru,Tamil Nadu
