Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Product_Name,Category,Sub_Category,List_Price,Unit_Cost,Sales,Profit,Profit_Margin,Segment,City,State
O50000,2025-03-26,C1170,P2014,1.0,0.05,Chairs Product 15,Furniture,Chairs,12221.58,8595.65,11610.5,3014.85,0.2597,Corporate,Salem,Delhi
O50001,2025-10-09,C1024,P2003,1.0,0.15,Chairs Product 4,Furniture,Chairs,72789.1,60628.14,61870.74,1242.6,0.0201,Consumer,Kochi,Maharashtra
O50002,2025-11-24,C1250,P2062,3.0,0.15,Storage Product 63,Furniture,Storage,2688.9,1752.13,6856.7,1600.31,0.2334,Consumer,Chennai,Delhi
O50003,2025-10-31,C1252,P2039,2.0,0.15,Chairs Product 40,Furniture,Chairs,31822.56,23868.26,54098.35,6361.83,0.1176,Home Office,Chennai,Maharashtra
O50004,2025-04-27,C1386,P2008,2.0,0.1,Paper Product 9,Office Supplies,Paper,12546.55,8779.06,22583.79,5025.67,0.2225,Consumer,Pune,Maharashtra
O50005,2025-08-09,C1206,P2008,4.0,0.05,Paper Product 9,Office Supplies,Paper,12546.55,8779.06,47676.89,12560.65,0.2635,Consumer,Pune,Delhi
O50006,2025-06-03,C1028,P2025,3.0,0.25,Storage Product 26,Furniture,Storage,43441.32,34057.56,97742.97,-4429.71,-0.0453,Corporate,Chennai,Tamil Nadu
O50007,2025-06-02,C1116,P2003,1.0,0.25,Chairs Product 4,Furniture,Chairs,72789.1,60628.14,54591.82,-6036.32,-0.1106,Corporate,Pune,Telangana
O50008,2025-01-12,C1490,P2015,1.0,0.1,Tables Product 16,Furniture,Tables,38551.13,28836.5,34696.02,5859.52,0.1689,Consumer,Pune,Telangana
O50009,2025-05-13,C1415,P2014,5.0,0.2,Chairs Product 15,Furniture,Chairs,12221.58,8595.65,48886.32,5908.07,0.1209,Consumer,Hyderabad,Telangana
O50010,2025-10-31,C1281,P2051,5.0,0.1,Chairs Product 52,Furniture,Chairs,34641.74,21896.2,155887.83,46406.83,0.2977,Consumer,Kochi,Karnataka
O50011,2025-10-20,C1379,P2068,4.0,0.1,Binders Product 69,Office Supplies,Binders,73518.62,55006.72,264667.03,44640.15,0.1687,Consumer,Chennai,Karnataka
O50012,2025-10-27,C1143,P2004,1.0,0.05,Stationery Product 5,Office Supplies,Stationery,22154.95,19379.22,21047.2,1667.98,0.0792,Consumer,Delhi,Telangana
O50013,2025-08-16,C1024,P2019,4.0,0.1,Chairs Product 20,Furniture,Chairs,44904.0,24841.99,161654.4,62286.44,0.3853,Consumer,Kochi,Maharashtra
O50014,2025-09-28,C1309,P2078,3.0,0.15,Tables Product 79,Furniture,Tables,6133.72,4595.0,15640.99,1855.99,0.1187,Consumer,Pune,Kerala
O50015,2025-02-12,C1155,P2017,2.0,0.0,Stationery Product 18,Office Supplies,Stationery,38596.4,22564.5,77192.8,32063.8,0.4154,Consumer,Hyderabad,Tamil Nadu
O50016,2025-12-09,C1072,P2001,1.0,0.1,Tables Product 2,Furniture,Tables,61893.98,38740.54,55704.58,16964.04,0.3045,Consumer,Mumbai,Maharashtra
O50017,2025-11-22,C1119,P2012,3.0,0.2,Laptops Product 13,Technology,Laptops,16281.82,11596.34,39076.37,4287.35,0.1097,Consumer,Hyderabad,Maharashtra
O50018,2025-10-29,C1311,P2003,1.0,0.15,Chairs Product 4,Furniture,Chairs,72789.1,60628.14,61870.74,1242.6,0.0201,Consumer,Salem,Telangana
O50019,2025-12-30,C1320,P2041,5.0,0.15,Laptops Product 42,Technology,Laptops,17089.78,12912.68,72631.56,8068.16,0.1111,Consumer,Kochi,Telangana
O50020,2025-01-21,C1092,P2073,4.0,0.25,Tables Product 74,Furniture,Tables,74076.28,51453.16,222228.84,16416.2,0.0739,Corporate,Pune,Karnataka
O50021,2025-04-17,C1085,P2060,5.0,0.0,Laptops Product 61,Technology,Laptops,51237.86,42856.01,256189.3,41909.25,0.1636,Consumer,Coimbatore,Tamil Nadu
O50022,2025-12-02,C1335,P2007,2.0,0.15,Storage Product 8,Furniture,Storage,77465.02,47348.43,131690.53,36993.67,0.2809,Consumer,Hyderabad,Kerala
O50023,2025-10-30,C1424,P2066,5.0,0.2,Stationery Product 67,Office Supplies,Stationery,54754.87,39098.68,219019.48,23526.08,0.1074,Consumer,Salem,Karnataka
O50024,2025-04-27,C1498,P2062,1.0,0.15,Storage Product 63,Furniture,Storage,2688.9,1752.13,2285.56,533.43,0.2334,Home Office,Salem,Kerala
O50025,2025-05-04,C1363,P2008,5.0,0.1,Paper Product 9,Office Supplies,Paper,12546.55,8779.06,56459.48,12564.18,0.2225,Consumer,Hyderabad,Tamil Nadu
O50026,2025-10-08,C1434,P2010,1.0,0.05,Phones Product 11,Technology,Phones,49447.03,40193.38,46974.68,6781.3,0.1444,Consumer,Madurai,Maharashtra
O50027,2025-10-19,C1117,P2041,2.0,0.2,Laptops Product 42,Technology,Laptops,17089.78,12912.68,27343.65,1518.29,0.0555,Consumer,Hyderabad,Tamil Nadu
O50028,2025-07-22,C1232,P2012,5.0,0.1,Laptops Product 13,Technology,Laptops,16281.82,11596.34,73268.19,15286.49,0.2086,Consumer,Salem,Karnataka
O50029,2025-02-20,C1198,P2035,4.0,0.2,Phones Product 36,Technology,Phones,2743.0,1741.9,8777.6,1810.0,0.2062,Home Office,Bengaluru,Karnataka
O50030,2025-09-28,C1205,P2012,4.0,0.15,Laptops Product 13,Technology,Laptops,16281.82,11596.34,55358.19,8972.83,0.1621,Consumer,Coimbatore,Maharashtra
O50031,2025-11-20,C1412,P2011,4.0,0.15,Tables Product 12,Furniture,Tables,47986.68,36009.74,163154.71,19115.75,0.1172,Home Office,Kochi,Maharashtra
O50032,2025-10-04,C1338,P2036,5.0,0.2,Tables Product 37,Furniture,Tables,76874.21,52831.76,307496.84,43338.04,0.1409,Consumer,Salem,Maharashtra
O50033,2025-05-21,C1146,P2073,5.0,0.15,Tables Product 74,Furniture,Tables,74076.28,51453.16,314824.19,57558.39,0.1828,Corporate,Salem,Telangana
O50034,2025-10-02,C1449,P2072,5.0,0.1,Accessories Product 73,Technology,Accessories,59154.4,49684.38,266194.8,17772.9,0.0668,Consumer,Mumbai,Delhi
O50035,2025-10-17,C1424,P2051,1.0,0.1,Chairs Product 52,Furniture,Chairs,34641.74,21896.2,31177.57,9281.37,0.2977,Consumer,Salem,Karnataka
O50036,2025-11-30,C1428,P2070,2.0,0.2,Phones Product 71,Technology,Phones,79953.27,45246.36,127925.23,37432.51,0.2926,Consumer,Coimbatore,Delhi
O50037,2025-02-21,C1270,P2001,4.0,0.1,Tables Product 2,Furniture,Tables,61893.98,38740.54,222818.33,67856.17,0.3045,Corporate,Hyderabad,Delhi
O50038,2025-01-27,C1386,P2055,1.0,0.1,Binders Product 56,Office Supplies,Binders,16705.54,9805.04,15034.99,5229.95,0.3479,Consumer,Pune,Maharashtra
O50039,2025-06-06,C1138,P2059,4.0,0.0,Chairs Product 60,Furniture,Chairs,38547.8,29927.33,154191.2,34481.88,0.2236,Consumer,Delhi,Kerala
O50040,2025-08-27,C1180,P2022,1.0,0.25,Accessories Product 23,Technology,Accessories,16308.47,12700.29,12231.35,-468.94,-0.0383,Consumer,Madurai,Maharashtra
O50041,2025-06-05,C1429,P2039,5.0,0.0,Chairs Product 40,Furniture,Chairs,31822.56,23868.26,159112.8,39771.5,0.25,Consumer,Chennai,Karnataka
O50042,2025-10-18,C1029,P2063,4.0,0.15,Binders Product 64,Office Supplies,Binders,58712.04,35437.77,199620.94,57869.86,0.2899,Consumer,Chennai,Maharashtra
O50043,2025-05-16,C1056,P2022,5.0,0.1,Accessories Product 23,Technology,Accessories,16308.47,12700.29,73388.11,9886.66,0.1347,Consumer,Chennai,Karnataka
O50044,2025-05-24,C1231,P2028,4.0,0.1,Tables Product 29,Furniture,Tables,62771.45,44486.02,225977.22,48033.14,0.2126,Consumer,Hyderabad,Telangana
O50045,2025-04-16,C1145,P2077,3.0,0.15,Laptops Product 78,Technology,Laptops,47839.89,34926.79,121991.72,17211.35,0.1411,Consumer,Mumbai,Delhi
O50046,2025-06-07,C1434,P2050,1.0,0.0,Phones Product 51,Technology,Phones,26671.88,18619.55,26671.88,8052.33,0.3019,Consumer,Madurai,Maharashtra
O50047,2025-05-26,C1383,P2068,3.0,0.15,Binders Product 69,Office Supplies,Binders,73518.62,55006.72,187472.48,22452.32,0.1198,Home Office,Kochi,Kerala
O50048,2025-01-02,C1047,P2030,1.0,0.2,Chairs Product 31,Furniture,Chairs,38498.53,28996.9,30798.82,1801.92,0.0585,Consumer,Delhi,Karnataka
O50049,2025-03-18,C1193,P2049,2.0,0.2,Accessories Product 50,Technology,Accessories,36467.03,22897.52,58347.25,12552.21,0.2151,Corporate,Salem,Tamil Nadu
O50050,2025-05-12,C1223,P2019,4.0,0.05,Chairs Product 20,Furniture,Chairs,44904.0,24841.99,170635.2,71267.24,0.4177,Consumer,Bengaluru,Delhi
O50051,2025-03-31,C1135,P2054,2.0,0.25,Chairs Product 55,Furniture,Chairs,56519.23,39410.95,84778.84,5956.94,0.0703,Consumer,Chennai,Maharashtra
O50052,2025-12-11,C1021,P2001,2.0,0.15,Tables Product 2,Furniture,Tables,61893.98,38740.54,105219.77,27738.69,0.2636,Consumer,Chennai,Maharashtra
O50053,2025-12-16,C1005,P2024,1.0,0.2,Storage Product 25,Furniture,Storage,71728.84,53529.53,57383.07,3853.54,0.0672,Consumer,Hyderabad,Karnataka
O50054,2025-09-20,C1203,P2012,3.0,0.1,Laptops Product 13,Technology,Laptops,16281.82,11596.34,43960.91,9171.89,0.2086,Home Office,Hyderabad,Tamil Nadu
O50055,2025-12-17,C1238,P2069,5.0,0.15,Binders Product 70,Office Supplies,Binders,31690.99,24240.66,134686.71,13483.41,0.1001,Corporate,Mumbai,Tamil Nadu
O50056,2025-04-18,C1184,P2066,1.0,0.25,Stationery Product 67,Office Supplies,Stationery,54754.87,39098.68,41066.15,1967.47,0.0479,Consumer,Chennai,Tamil Nadu
O50057,2025-03-15,C1359,P2057,5.0,0.25,Laptops Product 58,Technology,Laptops,10032.16,7014.74,37620.6,2546.9,0.0677,Consumer,Hyderabad,Telangana
O50058,2025-02-08,C1291,P2074,2.0,0.1,Paper Product 75,Office Supplies,Paper,63885.75,44320.26,114994.35,26353.83,0.2292,Consumer,Salem,Tamil Nadu
O50059,2025-06-08,C1334,P2063,5.0,0.05,Binders Product 64,Office Supplies,Binders,58712.04,35437.77,278882.19,101693.34,0.3646,Consumer,Chennai,Telangana
O50060,2025-03-12,C1219,P2068,3.0,0.1,Binders Product 69,Office Supplies,Binders,73518.62,55006.72,198500.27,33480.11,0.1687,Corporate,Madurai,Karnataka
O50061,2025-11-08,C1115,P2058,1.0,0.1,Paper Product 59,Office Supplies,Paper,8533.72,6340.06,7680.35,1340.29,0.1745,Home Office,Salem,Delhi
O50062,2025-08-29,C1312,P2059,3.0,0.1,Chairs Product 60,Furniture,Chairs,38547.8,29927.33,104079.06,14297.07,0.1374,Consumer,Chennai,Kerala
O50063,2025-10-25,C1048,P2061,3.0,0.05,Storage Product 62,Furniture,Storage,41881.88,27770.86,119363.36,36050.78,0.302,Consumer,Delhi,Delhi
O50064,2025-02-05,C1172,P2015,1.0,0.2,Tables Product 16,Furniture,Tables,38551.13,28836.5,30840.9,2004.4,0.065,Consumer,Bengaluru,Karnataka
O50065,2025-03-25,C1081,P2067,3.0,0.0,Storage Product 68,Furniture,Storage,45777.6,25636.72,137332.8,60422.64,0.44,Corporate,Coimbatore,Kerala
O50066,2025-09-20,C1321,P2014,4.0,0.15,Chairs Product 15,Furniture,Chairs,12221.58,8595.65,41553.37,7170.77,0.1726,Corporate,Pune,Karnataka
O50067,2025-11-06,C1332,P2054,4.0,0.05,Chairs Product 55,Furniture,Chairs,56519.23,39410.95,214773.07,57129.27,0.266,Consumer,Delhi,Tamil Nadu
